country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30-05-2025 02:00:00,30.735567,76.775714,SO2,11,21,16
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30-05-2025 02:00:00,30.751462,76.762879,NH3,23,45,33
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30-05-2025 02:00:00,30.751462,76.762879,SO2,3,10,7
India,Delhi,Delhi,"Narela, Delhi - DPCC",30-05-2025 02:00:00,28.822836,77.101981,PM2.5,52,318,146
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",30-05-2025 02:00:00,28.6573814,77.1585447,PM2.5,14,173,82
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",30-05-2025 02:00:00,28.623763,77.287209,PM10,62,312,136
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",30-05-2025 02:00:00,28.623763,77.287209,NO2,10,93,37
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",30-05-2025 02:00:00,23.041137,72.456691,SO2,2,2,2
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",30-05-2025 02:00:00,23.041137,72.456691,OZONE,6,26,13
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",30-05-2025 02:00:00,23.023389,72.515201,OZONE,2,21,8
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",30-05-2025 02:00:00,23.076793,72.627874,PM2.5,6,39,16
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",30-05-2025 02:00:00,23.076793,72.627874,PM10,28,107,64
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",30-05-2025 02:00:00,23.043070,72.562968,PM10,38,144,81
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",30-05-2025 02:00:00,23.043070,72.562968,CO,1,29,18
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",30-05-2025 02:00:00,21.613267,73.010555,SO2,43,44,44
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",30-05-2025 02:00:00,28.710508,77.249485,PM2.5,58,460,148
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",30-05-2025 02:00:00,28.710508,77.249485,CO,12,109,55
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",30-05-2025 02:00:00,28.531346,77.190156,PM2.5,65,133,92
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",30-05-2025 02:00:00,28.672342,77.315260,PM10,50,160,111
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30-05-2025 02:00:00,28.699793,77.165453,NO2,47,142,80
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30-05-2025 02:00:00,28.699793,77.165453,NH3,15,28,23
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30-05-2025 02:00:00,28.699793,77.165453,OZONE,14,148,43
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",30-05-2025 02:00:00,23.002657,72.591912,PM10,33,112,68
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",30-05-2025 02:00:00,23.002657,72.591912,SO2,45,63,54
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",30-05-2025 02:00:00,23.002657,72.591912,CO,15,60,32
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",30-05-2025 02:00:00,23.020509,72.579261,PM10,41,123,82
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",30-05-2025 02:00:00,23.020509,72.579261,NO2,6,27,11
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",30-05-2025 02:00:00,23.020509,72.579261,OZONE,NA,NA,NA
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",30-05-2025 02:00:00,23.041137,72.456691,PM2.5,27,134,69
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",30-05-2025 02:00:00,23.221714,72.654328,OZONE,5,31,19
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",30-05-2025 02:00:00,22.410802,73.097923,PM2.5,NA,NA,NA
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",30-05-2025 02:00:00,22.410802,73.097923,PM10,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC",30-05-2025 02:00:00,21.170046,72.795405,NO2,12,16,14
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",30-05-2025 02:00:00,20.362421,72.918013,SO2,32,35,34
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",30-05-2025 02:00:00,22.969611,72.643500,PM2.5,15,49,33
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",30-05-2025 02:00:00,22.969611,72.643500,OZONE,4,30,22
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",30-05-2025 02:00:00,28.3153,76.9143,SO2,3,10,6
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",30-05-2025 02:00:00,28.3153,76.9143,OZONE,1,14,4
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",30-05-2025 02:00:00,23.80569,86.44268,SO2,NA,NA,NA
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",30-05-2025 02:00:00,23.707909,86.414670,OZONE,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",30-05-2025 02:00:00,12.9135218,77.5950804,PM10,51,53,52
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",30-05-2025 02:00:00,12.951913,77.539784,CO,2,12,6
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",30-05-2025 02:00:00,12.9756843,77.5660749,CO,48,77,58
India,Delhi,Delhi,"Pusa, Delhi - IMD",30-05-2025 02:00:00,28.636110,77.173332,OZONE,6,143,35
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",30-05-2025 02:00:00,28.563262,77.186937,CO,19,42,29
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",30-05-2025 02:00:00,28.6514781,77.1473105,PM2.5,67,328,189
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",30-05-2025 02:00:00,12.7816279,77.6299145,PM10,35,54,43
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",30-05-2025 02:00:00,12.7816279,77.6299145,NH3,4,4,4
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",30-05-2025 02:00:00,13.003872,77.664217,PM2.5,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",30-05-2025 02:00:00,23.163798,72.677768,PM10,33,129,78
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",30-05-2025 02:00:00,23.243639,72.68994,NH3,NA,NA,NA
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",30-05-2025 02:00:00,13.0270199,77.494094,NO2,14,23,20
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",30-05-2025 02:00:00,13.0270199,77.494094,SO2,2,9,6
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",30-05-2025 02:00:00,13.0270199,77.494094,OZONE,19,29,20
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",30-05-2025 02:00:00,12.921418,77.502466,CO,24,46,30
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",30-05-2025 02:00:00,12.990328,77.5431385,PM10,38,44,41
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",30-05-2025 02:00:00,13.0246342,77.5080115,NO2,20,20,20
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",30-05-2025 02:00:00,13.0246342,77.5080115,SO2,6,10,7
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",30-05-2025 02:00:00,13.0246342,77.5080115,CO,24,31,28
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",30-05-2025 02:00:00,13.0246342,77.5080115,OZONE,23,25,24
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",30-05-2025 02:00:00,12.917348,77.622813,OZONE,2,12,5
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",30-05-2025 02:00:00,15.3714823,75.1160168,NO2,7,11,9
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",30-05-2025 02:00:00,15.3714823,75.1160168,NH3,1,2,2
